Frame,L_x1,L_x2,L_x3,L_x4,L_y1,L_y2,L_y3,L_y4,R_x1,R_x2,R_x3,R_x4,R_y1,R_y2,R_y3,R_y4
2490,2029,2066,2622,2585,1787,1985,1881,1683,1591,1640,2193,2145,1880,2076,1939,1743
2492,2038,2076,2638,2600,1832,2033,1928,1727,1598,1648,2206,2157,1929,2129,1992,1792
2494,2046,2083,2648,2611,1878,2083,1982,1777,1598,1648,2206,2157,1929,2129,1992,1792
2496,2045,2085,2656,2617,1934,2145,2037,1826,,,,,,,,
2502,2972,2825,3093,3241,1201,1351,1615,1465,2405,2586,2746,2566,1409,1635,1506,1280
2504,2776,3002,3277,3051,1383,1782,1627,1227,2394,2619,2795,2570,1482,1772,1636,1346
2506,2840,3110,3288,3019,1478,1799,1649,1329,2390,2595,2796,2592,1519,1826,1691,1385
2508,2777,3089,3299,2986,1479,1794,1585,1271,2390,2595,2796,2592,1519,1826,1691,1385
2510,2818,3101,3313,3029,1552,1842,1636,1345,2398,2628,2807,2578,1592,1886,1747,1452
2512,2837,3162,3339,3014,1621,1972,1807,1457,2411,2638,2822,2596,1661,1978,1846,1529
2514,2827,3209,3404,3022,1698,2117,1940,1521,2386,2666,2875,2594,1732,2118,1966,1580
2526,2424,2564,2722,2582,1445,1636,1521,1330,,,,,,,,
2528,2290,2467,2705,2528,1429,1704,1551,1276,,,,,,,,
2530,2377,2565,2712,2524,1404,1713,1624,1315,,,,,,,,
2532,2292,2483,2690,2499,1565,1805,1641,1401,,,,,,,,
2534,2259,2439,2687,2507,1572,1873,1724,1423,,,,,,,,
2536,2250,2426,2676,2500,1630,1927,1779,1482,,,,,,,,
2538,2235,2418,2673,2489,1685,1996,1846,1535,,,,,,,,
2540,2232,2443,2677,2466,1803,2075,1894,1622,,,,,,,,
2544,2310,2414,2594,2491,1965,2089,1937,1814,,,,,,,,
2554,3225,3153,3529,3601,820,1084,1186,922,,,,,,,,
2556,3123,3055,3565,3634,818,1119,1236,935,,,,,,,,
2558,3123,3172,3617,3568,987,1290,1218,915,,,,,,,,
2560,3220,3114,3521,3627,940,1231,1379,1089,,,,,,,,
2562,3293,3124,3426,3595,998,1283,1462,1177,,,,,,,,
2564,3255,3114,3508,3649,1058,1342,1537,1254,,,,,,,,
2566,3156,3186,3650,3620,1223,1564,1523,1182,,,,,,,,
2568,3307,3158,3471,3621,1191,1462,1634,1363,,,,,,,,
2570,3296,3089,3442,3649,1173,1448,1713,1438,,,,,,,,
2572,3029,2996,3618,3651,1317,1763,1809,1363,,,,,,,,
2578,3072,3017,3633,3688,1476,1930,2005,1551,,,,,,,,
2580,3204,3377,3592,3420,1732,2025,1899,1605,,,,,,,,
2582,3385,3194,3556,3747,1577,1880,2108,1805,,,,,,,,
2596,493,889,1031,635,191,638,513,65,,,,,,,,
2602,822,809,1075,1087,156,622,629,163,,,,,,,,
2606,611,593,1009,1027,145,425,452,172,,,,,,,,
2608,775,786,977,967,333,767,762,328,,,,,,,,
2610,837,660,845,1021,333,600,722,454,,,,,,,,
2612,745,706,871,909,399,725,745,418,,,,,,,,
2614,756,699,873,930,445,784,813,474,,,,,,,,
2616,756,699,873,930,445,784,813,474,,,,,,,,
2618,867,666,846,1047,523,766,914,671,,,,,,,,
2620,770,713,877,934,588,925,953,615,,,,,,,,
2622,718,643,919,994,642,1149,1190,683,,,,,,,,
2624,867,673,846,1039,671,931,1060,800,,,,,,,,
2626,780,717,878,941,734,1073,1103,764,,,,,,,,
2628,754,691,941,1004,783,1175,1215,823,,,,,,,,
2630,754,691,941,1004,783,1175,1215,823,,,,,,,,
2632,778,706,869,941,885,1223,1258,920,,,,,,,,
2634,874,637,803,1040,923,1184,1336,1075,,,,,,,,
2636,874,637,803,1040,923,1184,1336,1075,,,,,,,,
2638,855,635,809,1029,992,1292,1420,1120,,,,,,,,
2640,855,635,809,1029,992,1292,1420,1120,,,,,,,,
2642,479,668,990,802,1367,1772,1622,1217,,,,,,,,
2644,479,668,990,802,1367,1772,1622,1217,,,,,,,,
2646,652,462,818,1008,1292,1696,1864,1461,,,,,,,,
2648,463,748,1011,727,1612,1924,1683,1372,,,,,,,,
2650,3329,3173,3616,3772,1384,1817,1977,1544,,,,,,,,
